t,h,date,lon,lat,v,d_m,active_phases,time_interval
113.9999999999978,35.948751837431914,2023-07-01 12:01:53,-80.36765092491152,28.771547673638423,1270.3888831198249,3315.1696735981386,['Phase_1'],"[[112.5, 114.0]]"
115.49999999999771,36.93702723289787,2023-07-01 12:01:55,-80.35710319757156,28.78209517852153,1306.2481979341508,3315.1696735981386,['Phase_1'],"[[114.0, 115.5]]"
116.99999999999763,37.94362128123989,2023-07-01 12:01:56,-80.34622395009576,28.792974173094304,1342.719499584774,3315.1696735981386,['Phase_1'],"[[115.5, 117.0]]"
118.49999999999754,38.96882082644222,2023-07-01 12:01:58,-80.33500786901573,28.80418996727451,1379.8112789460495,3315.1696735981386,['Phase_1'],"[[117.0, 118.5]]"
119.89999999999746,39.942718668941374,2023-07-01 12:01:59,-80.32423086523141,28.814966669177817,1414.9980586667784,3094.1583620249294,['Phase_1'],"[[118.5, 119.9]]"
121.29999999999738,40.93332317451535,2023-07-01 12:02:01,-80.31315127635222,28.826045919699247,1450.7410506182518,3094.1583620249294,['Phase_1'],"[[119.9, 121.3]]"
122.6999999999973,41.940883502887395,2023-07-01 12:02:02,-80.30176456769989,28.837432249739855,1487.0485623912273,3094.1583620249294,['Phase_1'],"[[121.3, 122.7]]"
124.09999999999722,42.965654460687624,2023-07-01 12:02:04,-80.29006612851106,28.849130265952926,1523.9294112797143,3094.1583620249294,['Phase_1'],"[[122.7, 124.1]]"
125.39999999999715,43.93286583953496,2023-07-01 12:02:05,-80.27892006727343,28.860275890803713,1558.6974482269907,2873.147050451342,['Phase_1'],"[[124.1, 125.4]]"
126.79999999999707,44.99157046454296,2023-07-01 12:02:06,-80.26660711375165,28.872588322836343,1596.7109032819717,3094.158362024522,['Phase_1'],"[[125.4, 126.8]]"
128.099999999997,45.99075762218194,2023-07-01 12:02:08,-80.25488211996013,28.884312780069823,1632.5481787946655,2873.147050451371,['Phase_1'],"[[126.8, 128.1]]"
129.29999999999694,46.9270470747296,2023-07-01 12:02:09,-80.24380635998122,28.895387996036472,1666.0972898934203,2652.1357388781616,['Phase_1'],"[[128.1, 129.3]]"
130.59999999999687,47.95670154338338,2023-07-01 12:02:10,-80.23153009958381,28.907663609736435,1702.9584401937036,2873.147050451342,['Phase_1'],"[[129.3, 130.6]]"
131.7999999999968,48.92150989901959,2023-07-01 12:02:11,-80.21993854114503,28.919254513881725,1737.4688832186712,2652.1357388781616,['Phase_1'],"[[130.6, 131.8]]"
133.09999999999673,49.98249819982463,2023-07-01 12:02:13,-80.20709584555105,28.932096433280474,1775.3899283557034,2873.147050451342,['Phase_1'],"[[131.8, 133.1]]"
134.29999999999666,50.97664427365907,2023-07-01 12:02:14,-80.19497422902757,28.944217266054263,1810.8965774876806,2652.1357388781616,['Phase_1'],"[[133.1, 134.3]]"
135.4999999999966,51.985175010169,2023-07-01 12:02:15,-80.18259295978972,28.956597681763455,1846.8947692912593,2652.1357388781616,['Phase_1'],"[[134.3, 135.5]]"
136.59999999999653,52.92247101327663,2023-07-01 12:02:16,-80.17101239750755,28.968177395721682,1880.3327531190607,2431.1244273049815,['Phase_1'],"[[135.5, 136.6]]"
137.79999999999646,53.9591429005508,2023-07-01 12:02:17,-80.15812368647018,28.981065104019045,1917.2990639237746,2652.1357388781616,['Phase_1'],"[[136.6, 137.8]]"
138.8999999999964,54.92258806816768,2023-07-01 12:02:18,-80.14607195203016,28.99311584332543,1951.640896284637,2431.1244273049815,['Phase_1'],"[[137.8, 138.9]]"
140.09999999999633,55.98818076096886,2023-07-01 12:02:20,-80.13266254367146,29.006524077126468,1989.6118531041375,2652.1357388781616,['Phase_1'],"[[138.9, 140.1]]"
141.19999999999627,56.97850676127694,2023-07-01 12:02:21,-80.1201272520734,29.019058204725965,2024.892364382344,2431.1244273049815,['Phase_1'],"[[140.1, 141.2]]"
142.2999999999962,57.98195782611852,2023-07-01 12:02:22,-80.10735617263178,29.031828030775756,2060.634949243967,2431.1244273049815,['Phase_1'],"[[141.2, 142.3]]"
143.39999999999614,58.99871361128186,2023-07-01 12:02:23,-80.09434630231728,29.044836552256253,2096.8485591972194,2431.1244273049815,['Phase_1'],"[[142.3, 143.4]]"
144.39999999999608,59.93473716561129,2023-07-01 12:02:24,-80.08230935642057,29.056872183729375,2130.186578019403,2210.1131157318014,['Phase_1'],"[[143.4, 144.4]]"
145.49999999999602,60.97740736966583,2023-07-01 12:02:25,-80.06883505660949,29.070344934367625,2167.325526044927,2431.1244273049815,['Phase_1'],"[[144.4, 145.5]]"
146.49999999999596,61.937304773303254,2023-07-01 12:02:26,-80.0563706815096,29.082807801372642,2201.5210040724,2210.1131157318014,['Phase_1'],"[[145.5, 146.5]]"
147.4999999999959,62.9087983134566,2023-07-01 12:02:27,-80.04369901512722,29.09547785878463,2236.1366903575454,2210.1131157318014,['Phase_1'],"[[146.5, 147.5]]"
148.59999999999584,63.99101552495196,2023-07-01 12:02:28,-80.02951779358624,29.1096571867843,2274.708880257196,2431.1244273049815,['Phase_1'],"[[147.5, 148.6]]"
149.5999999999958,64.98735782255518,2023-07-01 12:02:29,-80.01640266975907,29.1227704699106,2310.23347964873,2210.1131157318014,['Phase_1'],"[[148.6, 149.6]]"
150.59999999999573,65.995776894304,2023-07-01 12:02:30,-80.00307239274451,29.13609878570582,2346.2041051741644,2210.1131157318014,['Phase_1'],"[[149.6, 150.6]]"
151.49999999999568,66.91170184146358,2023-07-01 12:02:31,-79.99091704631901,29.148252262582133,2359.004933776434,50984.66253067681,"['Phase_1', 'Phase_2']","[[150.6, 151.0], [151.0, 151.5]]"
152.49999999999562,67.92608720666577,2023-07-01 12:02:32,-79.97740235097555,29.161764786318276,2354.849549805105,1.1111842468380928e-06,['Phase_2'],"[[151.5, 152.5]]"
153.49999999999557,68.93529959943369,2023-07-01 12:02:33,-79.96390112228642,29.175263745628047,2350.7121342200053,1.1111842468380928e-06,['Phase_2'],"[[152.5, 153.5]]"
154.4999999999955,69.93936135414728,2023-07-01 12:02:34,-79.9504133432344,29.188749155580734,2346.5923395098603,1.1111842468380928e-06,['Phase_2'],"[[153.5, 154.5]]"
155.49999999999545,70.93829463078484,2023-07-01 12:02:35,-79.93693899817215,29.202221029888662,2342.489855300025,1.1111842468380928e-06,['Phase_2'],"[[154.5, 155.5]]"
156.4999999999954,71.93212142978014,2023-07-01 12:02:36,-79.92347807263866,29.21567938109075,2338.404399463715,1.1111842468380928e-06,['Phase_2'],"[[155.5, 156.5]]"
157.49999999999534,72.92086360202183,2023-07-01 12:02:37,-79.9100305532386,29.229124220673075,2334.3357041959166,1.1111842468380928e-06,['Phase_2'],"[[156.5, 157.5]]"
158.49999999999528,73.90454285408943,2023-07-01 12:02:38,-79.89659642758471,29.24255555912649,2330.283512310508,1.1111842468380928e-06,['Phase_2'],"[[157.5, 158.5]]"
159.59999999999522,74.9807680973364,2023-07-01 12:02:39,-79.88183434549107,29.257314449024914,2325.8448781105776,1.222302671521902e-06,['Phase_2'],"[[158.5, 159.6]]"
160.59999999999516,75.95435447684346,2023-07-01 12:02:40,-79.86842184455587,29.270723929656228,2325.6215319057374,132.92238409564015,"['Phase_2', 'Phase_3']","[[159.6, 160.0], [160.0, 160.6]]"
161.5999999999951,76.9254066999859,2023-07-01 12:02:41,-79.85498872013143,29.28415391238588,2328.0504665429225,270.78085642307997,['Phase_3'],"[[160.6, 161.6]]"
162.69999999999504,77.99091903965821,2023-07-01 12:02:42,-79.84018477082569,29.298954261414952,2330.7534986529595,297.85894206538796,['Phase_3'],"[[161.6, 162.7]]"
163.699999999995,78.95718187677284,2023-07-01 12:02:43,-79.8267015181406,29.312434106700604,2333.239036412023,270.78085642307997,['Phase_3'],"[[162.7, 163.7]]"
